year,city,country,avg_temp
1843,Riyadh,Saudi Arabia,24.74
1844,Riyadh,Saudi Arabia,15.45
1845,Riyadh,Saudi Arabia,20.82
1846,Riyadh,Saudi Arabia,
1847,Riyadh,Saudi Arabia,
1848,Riyadh,Saudi Arabia,24.56
1849,Riyadh,Saudi Arabia,24.80
1850,Riyadh,Saudi Arabia,24.34
1851,Riyadh,Saudi Arabia,25.03
1852,Riyadh,Saudi Arabia,24.85
1853,Riyadh,Saudi Arabia,24.93
1854,Riyadh,Saudi Arabia,24.72
1855,Riyadh,Saudi Arabia,24.92
1856,Riyadh,Saudi Arabia,24.57
1857,Riyadh,Saudi Arabia,24.26
1858,Riyadh,Saudi Arabia,25.01
1859,Riyadh,Saudi Arabia,24.95
1860,Riyadh,Saudi Arabia,24.94
1861,Riyadh,Saudi Arabia,24.13
1862,Riyadh,Saudi Arabia,23.77
1863,Riyadh,Saudi Arabia,24.28
1864,Riyadh,Saudi Arabia,25.03
1865,Riyadh,Saudi Arabia,25.23
1866,Riyadh,Saudi Arabia,24.92
1867,Riyadh,Saudi Arabia,25.22
1868,Riyadh,Saudi Arabia,25.00
1869,Riyadh,Saudi Arabia,25.30
1870,Riyadh,Saudi Arabia,25.02
1871,Riyadh,Saudi Arabia,24.73
1872,Riyadh,Saudi Arabia,24.87
1873,Riyadh,Saudi Arabia,25.24
1874,Riyadh,Saudi Arabia,24.98
1875,Riyadh,Saudi Arabia,24.43
1876,Riyadh,Saudi Arabia,24.89
1877,Riyadh,Saudi Arabia,25.47
1878,Riyadh,Saudi Arabia,25.51
1879,Riyadh,Saudi Arabia,25.24
1880,Riyadh,Saudi Arabia,24.80
1881,Riyadh,Saudi Arabia,25.63
1882,Riyadh,Saudi Arabia,24.66
1883,Riyadh,Saudi Arabia,25.19
1884,Riyadh,Saudi Arabia,24.80
1885,Riyadh,Saudi Arabia,24.98
1886,Riyadh,Saudi Arabia,24.98
1887,Riyadh,Saudi Arabia,24.81
1888,Riyadh,Saudi Arabia,25.13
1889,Riyadh,Saudi Arabia,25.52
1890,Riyadh,Saudi Arabia,25.07
1891,Riyadh,Saudi Arabia,25.39
1892,Riyadh,Saudi Arabia,25.22
1893,Riyadh,Saudi Arabia,25.19
1894,Riyadh,Saudi Arabia,24.66
1895,Riyadh,Saudi Arabia,24.69
1896,Riyadh,Saudi Arabia,24.88
1897,Riyadh,Saudi Arabia,24.86
1898,Riyadh,Saudi Arabia,24.88
1899,Riyadh,Saudi Arabia,25.12
1900,Riyadh,Saudi Arabia,25.29
1901,Riyadh,Saudi Arabia,25.55
1902,Riyadh,Saudi Arabia,25.25
1903,Riyadh,Saudi Arabia,24.64
1904,Riyadh,Saudi Arabia,25.07
1905,Riyadh,Saudi Arabia,24.87
1906,Riyadh,Saudi Arabia,24.85
1907,Riyadh,Saudi Arabia,24.44
1908,Riyadh,Saudi Arabia,24.95
1909,Riyadh,Saudi Arabia,25.57
1910,Riyadh,Saudi Arabia,24.75
1911,Riyadh,Saudi Arabia,24.24
1912,Riyadh,Saudi Arabia,24.96
1913,Riyadh,Saudi Arabia,24.63
1914,Riyadh,Saudi Arabia,24.94
1915,Riyadh,Saudi Arabia,25.38
1916,Riyadh,Saudi Arabia,24.85
1917,Riyadh,Saudi Arabia,25.03
1918,Riyadh,Saudi Arabia,24.66
1919,Riyadh,Saudi Arabia,25.39
1920,Riyadh,Saudi Arabia,24.94
1921,Riyadh,Saudi Arabia,24.84
1922,Riyadh,Saudi Arabia,25.35
1923,Riyadh,Saudi Arabia,25.10
1924,Riyadh,Saudi Arabia,25.69
1925,Riyadh,Saudi Arabia,25.00
1926,Riyadh,Saudi Arabia,25.19
1927,Riyadh,Saudi Arabia,25.29
1928,Riyadh,Saudi Arabia,25.39
1929,Riyadh,Saudi Arabia,25.36
1930,Riyadh,Saudi Arabia,25.39
1931,Riyadh,Saudi Arabia,25.38
1932,Riyadh,Saudi Arabia,24.96
1933,Riyadh,Saudi Arabia,24.67
1934,Riyadh,Saudi Arabia,24.97
1935,Riyadh,Saudi Arabia,25.61
1936,Riyadh,Saudi Arabia,25.15
1937,Riyadh,Saudi Arabia,25.08
1938,Riyadh,Saudi Arabia,25.11
1939,Riyadh,Saudi Arabia,25.16
1940,Riyadh,Saudi Arabia,25.51
1941,Riyadh,Saudi Arabia,25.37
1942,Riyadh,Saudi Arabia,25.49
1943,Riyadh,Saudi Arabia,24.96
1944,Riyadh,Saudi Arabia,25.60
1945,Riyadh,Saudi Arabia,25.30
1946,Riyadh,Saudi Arabia,25.49
1947,Riyadh,Saudi Arabia,26.00
1948,Riyadh,Saudi Arabia,24.85
1949,Riyadh,Saudi Arabia,24.82
1950,Riyadh,Saudi Arabia,24.98
1951,Riyadh,Saudi Arabia,26.10
1952,Riyadh,Saudi Arabia,25.72
1953,Riyadh,Saudi Arabia,25.51
1954,Riyadh,Saudi Arabia,25.80
1955,Riyadh,Saudi Arabia,25.33
1956,Riyadh,Saudi Arabia,25.02
1957,Riyadh,Saudi Arabia,24.69
1958,Riyadh,Saudi Arabia,25.64
1959,Riyadh,Saudi Arabia,24.14
1960,Riyadh,Saudi Arabia,25.67
1961,Riyadh,Saudi Arabia,25.12
1962,Riyadh,Saudi Arabia,26.10
1963,Riyadh,Saudi Arabia,25.54
1964,Riyadh,Saudi Arabia,25.14
1965,Riyadh,Saudi Arabia,25.59
1966,Riyadh,Saudi Arabia,26.16
1967,Riyadh,Saudi Arabia,24.87
1968,Riyadh,Saudi Arabia,25.21
1969,Riyadh,Saudi Arabia,26.05
1970,Riyadh,Saudi Arabia,25.84
1971,Riyadh,Saudi Arabia,24.93
1972,Riyadh,Saudi Arabia,24.74
1973,Riyadh,Saudi Arabia,25.60
1974,Riyadh,Saudi Arabia,25.40
1975,Riyadh,Saudi Arabia,25.04
1976,Riyadh,Saudi Arabia,24.97
1977,Riyadh,Saudi Arabia,25.99
1978,Riyadh,Saudi Arabia,25.95
1979,Riyadh,Saudi Arabia,26.20
1980,Riyadh,Saudi Arabia,25.83
1981,Riyadh,Saudi Arabia,25.95
1982,Riyadh,Saudi Arabia,24.62
1983,Riyadh,Saudi Arabia,24.85
1984,Riyadh,Saudi Arabia,25.05
1985,Riyadh,Saudi Arabia,25.30
1986,Riyadh,Saudi Arabia,25.36
1987,Riyadh,Saudi Arabia,26.37
1988,Riyadh,Saudi Arabia,25.99
1989,Riyadh,Saudi Arabia,25.05
1990,Riyadh,Saudi Arabia,25.70
1991,Riyadh,Saudi Arabia,25.43
1992,Riyadh,Saudi Arabia,24.37
1993,Riyadh,Saudi Arabia,25.42
1994,Riyadh,Saudi Arabia,26.08
1995,Riyadh,Saudi Arabia,25.64
1996,Riyadh,Saudi Arabia,26.28
1997,Riyadh,Saudi Arabia,25.49
1998,Riyadh,Saudi Arabia,26.73
1999,Riyadh,Saudi Arabia,26.92
2000,Riyadh,Saudi Arabia,26.55
2001,Riyadh,Saudi Arabia,26.67
2002,Riyadh,Saudi Arabia,26.44
2003,Riyadh,Saudi Arabia,26.62
2004,Riyadh,Saudi Arabia,26.20
2005,Riyadh,Saudi Arabia,26.27
2006,Riyadh,Saudi Arabia,26.24
2007,Riyadh,Saudi Arabia,26.49
2008,Riyadh,Saudi Arabia,26.21
2009,Riyadh,Saudi Arabia,26.71
2010,Riyadh,Saudi Arabia,27.37
2011,Riyadh,Saudi Arabia,26.40
2012,Riyadh,Saudi Arabia,26.83
2013,Riyadh,Saudi Arabia,27.78
